structural_feature,transcriptomic_feature,base_r2,interaction_r2,r2_improvement,f_statistic,p_value,p_adjusted,significant_fdr
num_rotatable_bonds,CNN3 (1266),0.9823327507733915,0.983892287455936,0.0015595366825444934,2238.461109967761,1.1102230246251565e-16,1.1937881985216736e-16,True
num_rotatable_bonds,CD151 (977),0.9823327507733915,0.9844409077534341,0.0021081569800425193,3132.611376434321,1.1102230246251565e-16,1.1937881985216736e-16,True
num_rotatable_bonds,FAM114A1 (92689),0.9823327507733915,0.9829054332871991,0.0005726825138075986,774.5396500348922,1.1102230246251565e-16,1.1937881985216736e-16,True
num_rotatable_bonds,PTTG1IP (754),0.9823327507733915,0.9838959031022225,0.0015631523288309745,2244.1545199319908,1.1102230246251565e-16,1.1937881985216736e-16,True
num_rotatable_bonds,GNA11 (2767),0.9823327507733915,0.9845376538529518,0.0022049030795602276,3296.8709091514065,1.1102230246251565e-16,1.1937881985216736e-16,True
pharmacophore_radius,TEAD1 (7003),0.9823327507733915,0.9829764013435713,0.0006436505701797879,874.1513168213295,1.1102230246251565e-16,1.1937881985216736e-16,True
pharmacophore_radius,CUEDC1 (404093),0.9823327507733915,0.98339473717038,0.0010619863969884014,1478.635162255534,1.1102230246251565e-16,1.1937881985216736e-16,True
pharmacophore_radius,BCAR1 (9564),0.9823327507733915,0.9835906543324594,0.0012579035590678522,1772.3272380797766,1.1102230246251565e-16,1.1937881985216736e-16,True
pharmacophore_radius,RAPH1 (65059),0.9823327507733915,0.984263022843916,0.0019302720705244303,2835.8616669446938,1.1102230246251565e-16,1.1937881985216736e-16,True
pharmacophore_radius,TJP1 (7082),0.9823327507733915,0.983101555984821,0.000768805211429413,1051.8587671315508,1.1102230246251565e-16,1.1937881985216736e-16,True
pharmacophore_radius,PTPN7 (5778),0.9823327507733915,0.9831181325239632,0.0007853817505716343,1075.5934495393092,1.1102230246251565e-16,1.1937881985216736e-16,True
pharmacophore_radius,ARHGAP29 (9411),0.9823327507733915,0.9828920137399855,0.0005592629665939208,755.7967133671838,1.1102230246251565e-16,1.1937881985216736e-16,True
pharmacophore_radius,WFS1 (7466),0.9823327507733915,0.9831944354304085,0.0008616846570169701,1185.4495686672406,1.1102230246251565e-16,1.1937881985216736e-16,True
