Architecture,Mean_R2,Std_R2,vs_Baseline,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5
V4_Residual,0.8326926672768517,0.010140042393292404,0.026492667276851622,0.8336456040521081,0.8300691831272778,0.8174271822322812,0.8331027088519561,0.8492186581206351
V5_Attention,0.8236582910669792,0.018182159249570264,0.01745829106697916,0.821674626223129,0.8518406697266789,0.8110165898853647,0.799515103969545,0.8342444655301785
V3_BatchNorm,0.8213688855607975,0.01107673123585708,0.01516888556079743,0.8232146252708186,0.8360863967527872,0.8125462501527673,0.8055474162816021,0.8294497393460121
V2_Deeper,0.8135505526385541,0.00939287471516223,0.007350552638554109,0.809591195759485,0.8295736081601682,0.801124038249496,0.8110644162821229,0.8163995047414985
V1_Original,0.7888906539693731,0.015544988833326221,-0.01730934603062695,0.7908591345204475,0.8169872189220013,0.7713195225507474,0.7863952237767124,0.7788921700769565
