structural_feature,transcriptomic_feature,base_r2,interaction_r2,r2_improvement,f_statistic,p_value,p_adjusted,significant_fdr
gatekeeper_LEU790_min_dist,CALU (813),0.9620453941232907,0.9669770693352414,0.0049316752119507035,824.5112804066432,1.1102230246251565e-16,1.1445598192011924e-16,True
hbond_mean_distance,DAPP1 (27071),0.9620453941232907,0.9628418993539395,0.0007965052306487808,118.34580621596237,1.1102230246251565e-16,1.1445598192011924e-16,True
hbond_mean_distance,CALU (813),0.9620453941232907,0.9649408095042096,0.0028954153809188643,455.9599948542029,1.1102230246251565e-16,1.1445598192011924e-16,True
hbond_mean_distance,DYNLRB1 (83658),0.9620453941232907,0.9629615838737187,0.0009161897504279537,136.56857234031804,1.1102230246251565e-16,1.1445598192011924e-16,True
hbond_mean_distance,SMPD1 (6609),0.9620453941232907,0.9657704788083771,0.003725084685086366,600.8320254095485,1.1102230246251565e-16,1.1445598192011924e-16,True
hbond_mean_distance,TLCD5 (219902),0.9620453941232907,0.9660093965125149,0.00396400238922423,643.8619778835264,1.1102230246251565e-16,1.1445598192011924e-16,True
hbond_mean_distance,ETV1 (2115),0.9620453941232907,0.9678601608971501,0.005814766773859392,998.863972397137,1.1102230246251565e-16,1.1445598192011924e-16,True
hbond_mean_distance,POMGNT1 (55624),0.9620453941232907,0.9651189513512015,0.003073557227910806,486.48507176919975,1.1102230246251565e-16,1.1445598192011924e-16,True
hbond_min_distance,STX2 (2054),0.9620453941232907,0.9655064567867861,0.00346106266349544,553.9740248499055,1.1102230246251565e-16,1.1445598192011924e-16,True
hbond_min_distance,PHC2 (1912),0.9620453941232907,0.9662089832161361,0.004163589092845421,680.2747466473467,1.1102230246251565e-16,1.1445598192011924e-16,True
hbond_min_distance,CD99L2 (83692),0.9620453941232907,0.9640741346502686,0.002028740526977879,311.7719320163443,1.1102230246251565e-16,1.1445598192011924e-16,True
hbond_min_distance,TFE3 (7030),0.9620453941232907,0.9648239089631995,0.0027785148399087634,436.09679128608764,1.1102230246251565e-16,1.1445598192011924e-16,True
hbond_min_distance,AGPAT1 (10554),0.9620453941232907,0.9636712620080984,0.0016258678848076746,247.08858848947904,1.1102230246251565e-16,1.1445598192011924e-16,True
