job_id,protein,ligand,num_hbonds,num_hbonds_lig_donor,num_hbonds_prot_donor,hbond_min_distance,hbond_mean_distance,hbond_max_distance,num_aromatic_interactions,aromatic_min_distance,aromatic_mean_distance,num_hydrophobic_contacts,hydrophobic_min_distance,hydrophobic_mean_distance,hydrophobic_surface_area,num_salt_bridges,salt_bridge_min_distance,salt_bridge_mean_distance,num_halogen_atoms,total_interactions,interaction_density
EGFR_afatinib,EGFR,afatinib,4,2,2,3.1562260692162094,3.2735539802030837,3.3908818911899585,12,4.055705364051976,5.0872901869939335,69,3.5909883040745214,4.072794958113395,1035.0,0,,,1,85,2.361111111111111
EGFR_azd3759,EGFR,azd3759,8,3,5,3.0043644918684564,3.1965946573954866,3.4097538034292154,1,5.873054571515578,5.873054571515578,65,3.4042737845243836,4.072623794208711,975.0,0,,,1,74,2.242424242424242
EGFR_gefitinib,EGFR,gefitinib,4,2,2,3.126934761071933,3.2207851684088897,3.314635575745846,1,5.866705463886868,5.866705463886868,64,3.4224029569879737,4.1067810675496625,960.0,0,,,1,69,2.15625
EGFR_lapatinib,EGFR,lapatinib,9,4,5,3.120921658741214,3.2801824923974814,3.3738971531450086,42,3.659695342511449,4.832732168534647,80,3.3239026760722092,4.108122852681511,1200.0,0,,,1,131,3.119047619047619
EGFR_osimertinib,EGFR,osimertinib,10,5,5,3.0442329083038304,3.236207545300342,3.4217887135239673,49,3.644440835025311,4.618015748568213,77,3.50950395355241,4.079088474113134,1155.0,0,,,0,136,3.4871794871794872
EGFR_sapitinib,EGFR,sapitinib,7,3,4,2.809797323651655,3.087502581379479,3.3335605589219495,0,,,57,3.421133437912063,4.102829806300718,855.0,0,,,1,64,1.8285714285714285
