GDSC_CELL_LINE,DepMap_ModelID,DepMap_CellLineName,DepMap_StrippedName,COSMIC_ID,Match_Method,Confidence,Fuzzy_Score
SNU-C5,ACH-000970,SNU-C5,SNUC5,1674021,COSMIC_ID,HIGH,
DiFi,ACH-002233,DIFI,DIFI,1789883,COSMIC_ID,HIGH,
HCC202,ACH-000725,HCC202,HCC202,1290906,COSMIC_ID,HIGH,
NB69,ACH-002083,NB69,NB69,,EXACT_NAME,HIGH,
SAS,ACH-002029,SAS,SAS,,EXACT_NAME,HIGH,
TGBC1TKB,ACH-001861,TGBC1TKB,TGBC1TKB,,EXACT_NAME,HIGH,
TT,ACH-001321,TT,TT,,EXACT_NAME,HIGH,
SLVL,ACH-002062,SLVL,SLVL,,EXACT_NAME,HIGH,
SNU-175,ACH-000989,SNU-175,SNU175,1659928,COSMIC_ID,HIGH,
SKN-3,ACH-002305,SKN-3,SKN3,1299059,COSMIC_ID,HIGH,
EMC-BAC-2,ACH-002102,EMC-BAC-2,EMCBAC2,1503370,COSMIC_ID,HIGH,
KYAE-1,ACH-001544,KYAE-1,KYAE1,1503368,COSMIC_ID,HIGH,
SUP-M2,ACH-000226,SUP-M2,SUPM2,1331040,COSMIC_ID,HIGH,
TK,ACH-002313,TK,TK,1331045,COSMIC_ID,HIGH,
VAL,ACH-001703,VAL,VAL,1331048,COSMIC_ID,HIGH,
WIL2-NS,ACH-002316,WIL2-NS,WIL2NS,1331049,COSMIC_ID,HIGH,
WSU-DLCL2,ACH-000534,WSU-DLCL2,WSUDLCL2,1331050,COSMIC_ID,HIGH,
NCI-H740,ACH-002175,NCI-H740,NCIH740,1331055,COSMIC_ID,HIGH,
DOV13,ACH-001063,DOV13,DOV13,1479987,COSMIC_ID,HIGH,
Hey,ACH-002140,Hey,HEY,1479988,COSMIC_ID,HIGH,
JHOS-2,ACH-000132,JHOS-2,JHOS2,1479995,COSMIC_ID,HIGH,
JHOS-3,ACH-002146,JHOS-3,JHOS3,1480358,COSMIC_ID,HIGH,
JHOS-4,ACH-000584,JHOS-4,JHOS4,1480359,COSMIC_ID,HIGH,
OV-7,ACH-000688,OV7,OV7,1480360,COSMIC_ID,HIGH,
EMC-BAC-1,ACH-002101,EMC-BAC-1,EMCBAC1,1503369,COSMIC_ID,HIGH,
OV-17R,ACH-001373,OV17R,OV17R,1480361,COSMIC_ID,HIGH,
OVCA420,ACH-002181,OVCA420,OVCA420,1480364,COSMIC_ID,HIGH,
OVCA433,ACH-002182,OVCA433,OVCA433,1480367,COSMIC_ID,HIGH,
OVK-18,ACH-000947,OVK18,OVK18,1480371,COSMIC_ID,HIGH,
PEO1,ACH-001630,PEO1,PEO1,1480372,COSMIC_ID,HIGH,
UWB1.289,ACH-001418,UWB1.289,UWB1289,1480374,COSMIC_ID,HIGH,
FLO-1,ACH-001500,FLO-1,FLO1,1503361,COSMIC_ID,HIGH,
OACp4C,ACH-002292,OACp4C,OACP4C,1503362,COSMIC_ID,HIGH,
OACM5-1,ACH-001368,OAC-M5.1,OACM51,1503363,COSMIC_ID,HIGH,
SK-GT-2,ACH-001653,SK-GT-2,SKGT2,1503364,COSMIC_ID,HIGH,
SK-GT-4,ACH-001654,SK-GT-4,SKGT4,1503365,COSMIC_ID,HIGH,
ESO26,ACH-001496,ESO26,ESO26,1503366,COSMIC_ID,HIGH,
ESO51,ACH-001497,ESO51,ESO51,1503367,COSMIC_ID,HIGH,
OV-56,ACH-000091,OV56,OV56,1480362,COSMIC_ID,HIGH,
KYSE-220,ACH-002263,KYSE-220,KYSE220,1240167,COSMIC_ID,HIGH,
SCC90,ACH-001227,UPCI-SCC-090,UPCISCC090,1299052,COSMIC_ID,HIGH,
RKN,ACH-000505,RKN,RKN,1298539,COSMIC_ID,HIGH,
RH-41,ACH-000100,RH-41,RH41,1240210,COSMIC_ID,HIGH,
SISO,ACH-001650,SISO,SISO,1240212,COSMIC_ID,HIGH,
SKN,ACH-001655,SKN,SKN,1240215,COSMIC_ID,HIGH,
SNU-398,ACH-000221,SNU-398,SNU398,1240217,COSMIC_ID,HIGH,
SU8686,ACH-000114,SU.86.86,SU8686,1240218,COSMIC_ID,HIGH,
SUIT-2,ACH-000652,SUIT-2,SUIT2,1240219,COSMIC_ID,HIGH,
SW156,ACH-001398,SW 156,SW156,1240220,COSMIC_ID,HIGH,
TC-71,ACH-000424,TC-71,TC71,1240221,COSMIC_ID,HIGH,
TOV-21G,ACH-000885,TOV-21G,TOV21G,1240222,COSMIC_ID,HIGH,
TT2609-C02,ACH-000716,TT2609-C02,TT2609C02,1240223,COSMIC_ID,HIGH,
VMRC-RCW,ACH-000484,VMRC-RCW,VMRCRCW,1240224,COSMIC_ID,HIGH,
WM278,ACH-002206,WM278,WM278,1240226,COSMIC_ID,HIGH,
SUP-B15,ACH-000059,SUP-B15,SUPB15,1247871,COSMIC_ID,HIGH,
451Lu,ACH-001002,451Lu,451LU,1287706,COSMIC_ID,HIGH,
OCI-AML3,ACH-000336,OCI-AML3,OCIAML3,1290455,COSMIC_ID,HIGH,
ASH-3,ACH-001443,ASH-3,ASH3,1290722,COSMIC_ID,HIGH,
BICR10,ACH-001331,BICR 10,BICR10,1290724,COSMIC_ID,HIGH,
BICR31,ACH-000228,BICR 31,BICR31,1290725,COSMIC_ID,HIGH,
CAL-29,ACH-000142,CAL-29,CAL29,1290730,COSMIC_ID,HIGH,
CAL-78,ACH-000516,CAL-78,CAL78,1290765,COSMIC_ID,HIGH,
CHSA0011,ACH-002092,CHSA0011,CHSA0011,1290767,COSMIC_ID,HIGH,
CHSA0108,ACH-002093,CHSA0108,CHSA0108,1290768,COSMIC_ID,HIGH,
CL-11,ACH-000249,CL-11,CL11,1290769,COSMIC_ID,HIGH,
CS1,ACH-002099,CS1,CS1,1290795,COSMIC_ID,HIGH,
DAN-G,ACH-000243,DAN-G,DANG,1290797,COSMIC_ID,HIGH,
RERF-GC-1B,ACH-000144,RERF-GC-1B,RERFGC1B,1240209,COSMIC_ID,HIGH,
PE-CA-PJ15,ACH-000619,PE/CA-PJ15,PECAPJ15,1240207,COSMIC_ID,HIGH,
PCI-6A,ACH-002298,PCI-6A,PCI6A,1240206,COSMIC_ID,HIGH,
PCI-15A,ACH-002294,PCI-15A,PCI15A,1240204,COSMIC_ID,HIGH,
LN-229,ACH-000595,LN-229,LN229,1240169,COSMIC_ID,HIGH,
LNZTA3WT4,ACH-002269,LNZTA3WT4,LNZTA3WT4,1240170,COSMIC_ID,HIGH,
MDA-MB-436,ACH-000573,MDA-MB-436,MDAMB436,1240172,COSMIC_ID,HIGH,
MDST8,ACH-000935,MDST8,MDST8,1240173,COSMIC_ID,HIGH,
MFE-319,ACH-000988,MFE-319,MFE319,1240174,COSMIC_ID,HIGH,
ML-1,ACH-000058,ML-1,ML1,1240178,COSMIC_ID,HIGH,
MS751,ACH-001360,MS751,MS751,1240179,COSMIC_ID,HIGH,
NB(TU)1-10,ACH-002277,NB(TU)1-10,NBTU110,1240181,COSMIC_ID,HIGH,
NCI-H1836,ACH-000559,NCI-H1836,NCIH1836,1240182,COSMIC_ID,HIGH,
NCI-H1869,ACH-000894,NCI-H1869,NCIH1869,1240183,COSMIC_ID,HIGH,
NCI-H1915,ACH-000434,NCI-H1915,NCIH1915,1240184,COSMIC_ID,HIGH,
NCI-H1944,ACH-000414,NCI-H1944,NCIH1944,1240185,COSMIC_ID,HIGH,
EFM-192A,ACH-000117,EFM-192A,EFM192A,1290798,COSMIC_ID,HIGH,
NCI-H196,ACH-000752,NCI-H196,NCIH196,1240186,COSMIC_ID,HIGH,
NCI-H211,ACH-000639,NCI-H211,NCIH211,1240189,COSMIC_ID,HIGH,
NCI-H3122,ACH-000337,NCI-H3122,NCIH3122,1240190,COSMIC_ID,HIGH,
NCI-H647,ACH-000378,NCI-H647,NCIH647,1240191,COSMIC_ID,HIGH,
NCI-H841,ACH-000292,NCI-H841,NCIH841,1240192,COSMIC_ID,HIGH,
NCI-H847,ACH-001365,NCI-H847,NCIH847,1240193,COSMIC_ID,HIGH,
OSC-20,ACH-001626,OSC-20,OSC20,1240196,COSMIC_ID,HIGH,
OV-90,ACH-000291,OV-90,OV90,1240197,COSMIC_ID,HIGH,
OVISE,ACH-000527,OVISE,OVISE,1240198,COSMIC_ID,HIGH,
OVKATE,ACH-000443,OVKATE,OVKATE,1240199,COSMIC_ID,HIGH,
OVMIU,ACH-002183,OVMIU,OVMIU,1240200,COSMIC_ID,HIGH,
PA-TU-8988T,ACH-000023,PA-TU-8988T,PATU8988T,1240201,COSMIC_ID,HIGH,
PC-3_[JPC-3],ACH-002184,PC-3 [JPC-3],PC3JPC3,1240202,COSMIC_ID,HIGH,
NCI-H2023,ACH-000781,NCI-H2023,NCIH2023,1240187,COSMIC_ID,HIGH,
FU97,ACH-000633,FU97,FU97,1290806,COSMIC_ID,HIGH,
G-292-Clone-A141B1,ACH-000082,"G-292, clone A141B1",G292CLONEA141B1,1290807,COSMIC_ID,HIGH,
NCI-H2369,ACH-002123,H2369,H2369,1290808,COSMIC_ID,HIGH,
KP-3,ACH-000108,KP-3,KP3,1298219,COSMIC_ID,HIGH,
KYSE-50,ACH-002264,KYSE-50,KYSE50,1298222,COSMIC_ID,HIGH,
LC-1-sq,ACH-002156,LC-1-sq,LC1SQ,1298223,COSMIC_ID,HIGH,
LOU-NH91,ACH-000176,LOU-NH91,LOUNH91,1298226,COSMIC_ID,HIGH,
NCI-H1435,ACH-000852,NCI-H1435,NCIH1435,1298347,COSMIC_ID,HIGH,
NCI-H1568,ACH-000869,NCI-H1568,NCIH1568,1298348,COSMIC_ID,HIGH,
NCI-H1688,ACH-002170,NCI-H1688,NCIH1688,1298349,COSMIC_ID,HIGH,
NCI-H1781,ACH-000379,NCI-H1781,NCIH1781,1298350,COSMIC_ID,HIGH,
NCI-H2110,ACH-000929,NCI-H2110,NCIH2110,1298351,COSMIC_ID,HIGH,
NCI-H2135,ACH-001363,NCI-H2135,NCIH2135,1298352,COSMIC_ID,HIGH,
NCI-H2172,ACH-000924,NCI-H2172,NCIH2172,1298353,COSMIC_ID,HIGH,
NCI-H2444,ACH-000186,NCI-H2444,NCIH2444,1298356,COSMIC_ID,HIGH,
KP-2,ACH-000281,KP-2,KP2,1298218,COSMIC_ID,HIGH,
NUGC-4,ACH-000674,NUGC-4,NUGC4,1298357,COSMIC_ID,HIGH,
OE21,ACH-000544,OE21,OE21,1298359,COSMIC_ID,HIGH,
OSC-19,ACH-001625,OSC-19,OSC19,1298362,COSMIC_ID,HIGH,
OVTOKO,ACH-000663,OVTOKO,OVTOKO,1298365,COSMIC_ID,HIGH,
PANC-02-03,ACH-000042,Panc 02.03,PANC0203,1298475,COSMIC_ID,HIGH,
PANC-04-03,ACH-000235,Panc 04.03,PANC0403,1298476,COSMIC_ID,HIGH,
PA-TU-8902,ACH-000599,PA-TU-8902,PATU8902,1298526,COSMIC_ID,HIGH,
PCI-30,ACH-002295,PCI-30,PCI30,1298529,COSMIC_ID,HIGH,
PCI-4B,ACH-002297,PCI-4B,PCI4B,1298531,COSMIC_ID,HIGH,
PL4,ACH-002186,PL4,PL4,1298533,COSMIC_ID,HIGH,
QGP-1,ACH-000347,QGP-1,QGP1,1298534,COSMIC_ID,HIGH,
RERF-LC-KJ,ACH-000482,RERF-LC-KJ,RERFLCKJ,1298537,COSMIC_ID,HIGH,
RERF-LC-Sq1,ACH-000442,RERF-LC-Sq1,RERFLCSQ1,1298538,COSMIC_ID,HIGH,
OCUM-1,ACH-000247,OCUM-1,OCUM1,1298358,COSMIC_ID,HIGH,
SAT,ACH-001641,SAT,SAT,1299050,COSMIC_ID,HIGH,
KP-1N,ACH-001107,KP-1N,KP1N,1298216,COSMIC_ID,HIGH,
KMRC-20,ACH-000250,KMRC-20,KMRC20,1298169,COSMIC_ID,HIGH,
NCI-H2373,ACH-002124,H2373,H2373,1290809,COSMIC_ID,HIGH,
NCI-H2461,ACH-002125,H2461,H2461,1290810,COSMIC_ID,HIGH,
NCI-H2722,ACH-002128,H2722,H2722,1290812,COSMIC_ID,HIGH,
NCI-H2795,ACH-002130,H2795,H2795,1290813,COSMIC_ID,HIGH,
NCI-H2818,ACH-002134,H2818,H2818,1290814,COSMIC_ID,HIGH,
HCC1428,ACH-000352,HCC1428,HCC1428,1290905,COSMIC_ID,HIGH,
HCC-78,ACH-000562,HCC-78,HCC78,1290908,COSMIC_ID,HIGH,
HDQ-P1,ACH-000643,HDQ-P1,HDQP1,1290922,COSMIC_ID,HIGH,
ALL-SIL,ACH-000105,ALL-SIL,ALLSIL,1295740,COSMIC_ID,HIGH,
AMO-1,ACH-000838,AMO-1,AMO1,1295741,COSMIC_ID,HIGH,
COR-L303,ACH-002095,COR-L303,CORL303,1297438,COSMIC_ID,HIGH,
COR-L95,ACH-000743,COR-L95,CORL95,1297439,COSMIC_ID,HIGH,
KON,ACH-001542,KON,KON,1298215,COSMIC_ID,HIGH,
DND-41,ACH-000981,DND-41,DND41,1297446,COSMIC_ID,HIGH,
Farage,ACH-001498,Farage,FARAGE,1297449,COSMIC_ID,HIGH,
HeLa,ACH-001086,HeLa,HELA,1298134,COSMIC_ID,HIGH,
HPAC,ACH-000270,HPAC,HPAC,1298136,COSMIC_ID,HIGH,
Hs-766T,ACH-000178,Hs 766T,HS766T,1298141,COSMIC_ID,HIGH,
Hs-939-T,ACH-000814,Hs 939.T,HS939T,1298144,COSMIC_ID,HIGH,
Hs-940-T,ACH-000135,Hs 940.T,HS940T,1298145,COSMIC_ID,HIGH,
huH-1,ACH-000475,huH-1,HUH1,1298146,COSMIC_ID,HIGH,
JHH-1,ACH-000620,JHH-1,JHH1,1298151,COSMIC_ID,HIGH,
JHU-029,ACH-002251,JHU-029,JHU029,1298156,COSMIC_ID,HIGH,
JIMT-1,ACH-000711,JIMT-1,JIMT1,1298157,COSMIC_ID,HIGH,
K2,ACH-002147,K2,K2,1298160,COSMIC_ID,HIGH,
KMRC-1,ACH-000684,KMRC-1,KMRC1,1298168,COSMIC_ID,HIGH,
EJM,ACH-000821,EJM,EJM,1297447,COSMIC_ID,HIGH,
SNU-387,ACH-000478,SNU-387,SNU387,909736,COSMIC_ID,HIGH,
SW13,ACH-001401,SW-13,SW13,909744,COSMIC_ID,HIGH,
SK-UT-1,ACH-000939,SK-UT-1,SKUT1,909732,COSMIC_ID,HIGH,
SK-MM-2,ACH-000363,SK-MM-2,SKMM2,753612,COSMIC_ID,HIGH,
TE-15,ACH-000353,TE-15,TE15,753614,COSMIC_ID,HIGH,
U-266,ACH-000626,U266B1,U266B1,753615,COSMIC_ID,HIGH,
BE2-M17,ACH-002217,BE2-M17,BE2M17,753616,COSMIC_ID,HIGH,
KELLY,ACH-000259,KELLY,KELLY,753618,COSMIC_ID,HIGH,
SIMA,ACH-000099,SIMA,SIMA,753620,COSMIC_ID,HIGH,
TE-1,ACH-000647,TE-1,TE1,753621,COSMIC_ID,HIGH,
TE-10,ACH-000318,TE-10,TE10,753622,COSMIC_ID,HIGH,
TE-8,ACH-000452,TE-8,TE8,753623,COSMIC_ID,HIGH,
CAPAN-1,ACH-000354,Capan-1,CAPAN1,753624,COSMIC_ID,HIGH,
OVCAR-3,ACH-000001,NIH:OVCAR-3,NIHOVCAR3,905933,COSMIC_ID,HIGH,
PC-3,ACH-000090,PC-3,PC3,905934,COSMIC_ID,HIGH,
DU-145,ACH-000979,DU 145,DU145,905935,COSMIC_ID,HIGH,
HCT-116,ACH-000971,HCT 116,HCT116,905936,COSMIC_ID,HIGH,
HCT-15,ACH-000997,HCT-15,HCT15,905937,COSMIC_ID,HIGH,
HL-60,ACH-000002,HL-60,HL60,905938,COSMIC_ID,HIGH,
HT-29,ACH-000552,HT-29,HT29,905939,COSMIC_ID,HIGH,
K-562,ACH-000551,K-562,K562,905940,COSMIC_ID,HIGH,
NCI-H226,ACH-000367,NCI-H226,NCIH226,905941,COSMIC_ID,HIGH,
NCI-H23,ACH-000900,NCI-H23,NCIH23,905942,COSMIC_ID,HIGH,
NCI-H460,ACH-000463,NCI-H460,NCIH460,905943,COSMIC_ID,HIGH,
NCI-H522,ACH-000343,NCI-H522,NCIH522,905944,COSMIC_ID,HIGH,
T47D,ACH-000147,T-47D,T47D,905945,COSMIC_ID,HIGH,
MCF7,ACH-000019,MCF7,MCF7,905946,COSMIC_ID,HIGH,
786-0,ACH-000649,786-O,786O,905947,COSMIC_ID,HIGH,
SBC-3,ACH-002197,SBC-3,SBC3,753610,COSMIC_ID,HIGH,
PC-14,ACH-000030,PC-14,PC14,753608,COSMIC_ID,HIGH,
NCI-H835,ACH-002177,NCI-H835,NCIH835,753607,COSMIC_ID,HIGH,
NCI-H510A,ACH-000871,NCI-H510,NCIH510,753605,COSMIC_ID,HIGH,
IM-9,ACH-002247,IM-9,IM9,753563,COSMIC_ID,HIGH,
IST-SL1,ACH-002144,IST-SL1,ISTSL1,753564,COSMIC_ID,HIGH,
IST-SL2,ACH-002145,IST-SL2,ISTSL2,753565,COSMIC_ID,HIGH,
J82,ACH-000396,J82,J82,753566,COSMIC_ID,HIGH,
KNS-62,ACH-000858,KNS-62,KNS62,753569,COSMIC_ID,HIGH,
KOSC-2,ACH-001543,KOSC-2,KOSC2,753570,COSMIC_ID,HIGH,
KP-4,ACH-000265,KP-4,KP4,753572,COSMIC_ID,HIGH,
KYSE-140,ACH-000823,KYSE-140,KYSE140,753573,COSMIC_ID,HIGH,
KYSE-410,ACH-000809,KYSE-410,KYSE410,753574,COSMIC_ID,HIGH,
KYSE-520,ACH-000637,KYSE-520,KYSE520,753575,COSMIC_ID,HIGH,
KYSE-70,ACH-000784,KYSE-70,KYSE70,753576,COSMIC_ID,HIGH,
LB1047-RCC,ACH-002150,LB1047-RCC,LB1047RCC,753577,COSMIC_ID,HIGH,
A498,ACH-000555,A-498,A498,905948,COSMIC_ID,HIGH,
LB2241-RCC,ACH-002151,LB2241-RCC,LB2241RCC,753578,COSMIC_ID,HIGH,
LB373-MEL-D,ACH-002153,LB373-MEL-D,LB373MELD,753581,COSMIC_ID,HIGH,
LB647-SCLC,ACH-002154,LB647-SCLC,LB647SCLC,753582,COSMIC_ID,HIGH,
LB771-HNC,ACH-002265,LB771-HNC,LB771HNC,753583,COSMIC_ID,HIGH,
LB831-BLC,ACH-002266,LB831-BLC,LB831BLC,753584,COSMIC_ID,HIGH,
LB996-RCC,ACH-002155,LB996-RCC,LB996RCC,753585,COSMIC_ID,HIGH,
LCLC-103H,ACH-000627,LCLC-103H,LCLC103H,753586,COSMIC_ID,HIGH,
LXF-289,ACH-000787,LXF-289,LXF289,753592,COSMIC_ID,HIGH,
MS-1,ACH-001131,MS-1,MSDASH1,753594,COSMIC_ID,HIGH,
MZ1-PC,ACH-002164,MZ1-PC,MZ1PC,753595,COSMIC_ID,HIGH,
MZ7-mel,ACH-002166,MZ7-mel,MZ7MEL,753596,COSMIC_ID,HIGH,
NCI-H1563,ACH-000892,NCI-H1563,NCIH1563,753600,COSMIC_ID,HIGH,
NCI-H292,ACH-001075,NCI-H292,NCIH292,753604,COSMIC_ID,HIGH,
LB2518-MEL,ACH-002152,LB2518-MEL,LB2518MEL,753579,COSMIC_ID,HIGH,
A549,ACH-000681,A549,A549,905949,COSMIC_ID,HIGH,
ACHN,ACH-000046,ACHN,ACHN,905950,COSMIC_ID,HIGH,
BT-549,ACH-000288,BT-549,BT549,905951,COSMIC_ID,HIGH,
SF539,ACH-000273,SF539,SF539,905984,COSMIC_ID,HIGH,
SF295,ACH-000376,SF-295,SF295,905985,COSMIC_ID,HIGH,
SF268,ACH-000655,SF268,SF268,905986,COSMIC_ID,HIGH,
KM12,ACH-000969,KM12,KM12,905989,COSMIC_ID,HIGH,
OVCAR-4,ACH-000617,OVCAR-4,OVCAR4,905990,COSMIC_ID,HIGH,
OVCAR-8,ACH-000696,OVCAR-8,OVCAR8,905991,COSMIC_ID,HIGH,
BxPC-3,ACH-000535,BxPC-3,BXPC3,906693,COSMIC_ID,HIGH,
BONNA-12,ACH-001452,BONNA-12,BONNA12,906695,COSMIC_ID,HIGH,
BHT-101,ACH-000191,BHT-101,BHT101,906696,COSMIC_ID,HIGH,
Becker,ACH-001016,Becker,BECKER,906746,COSMIC_ID,HIGH,
BE-13,ACH-002216,BE-13,BE13,906763,COSMIC_ID,HIGH,
ARH-77,ACH-002210,ARH-77,ARH77,906765,COSMIC_ID,HIGH,
U251,ACH-000232,U-251 MG,U251MG,905983,COSMIC_ID,HIGH,
AGS,ACH-000880,AGS,AGS,906790,COSMIC_ID,HIGH,
A2058,ACH-000788,A2058,A2058,906792,COSMIC_ID,HIGH,
A375,ACH-000219,A-375,A375,906793,COSMIC_ID,HIGH,
A253,ACH-000740,A-253,A253,906794,COSMIC_ID,HIGH,
8305C,ACH-001306,8305C,8305C,906795,COSMIC_ID,HIGH,
647-V,ACH-000896,647-V,647V,906797,COSMIC_ID,HIGH,
639-V,ACH-000973,639-V,639V,906798,COSMIC_ID,HIGH,
697,ACH-000070,697,697,906800,COSMIC_ID,HIGH,
SNG-M,ACH-000974,SNG-M,SNGM,909735,COSMIC_ID,HIGH,
A2780,ACH-000657,A2780,A2780,906804,COSMIC_ID,HIGH,
COR-L105,ACH-000161,COR-L105,CORL105,906805,COSMIC_ID,HIGH,
CRO-AP2,ACH-002220,CRO-AP2,CROAP2,906807,COSMIC_ID,HIGH,
COR-L88,ACH-000508,COR-L88,CORL88,906808,COSMIC_ID,HIGH,
ABC-1,ACH-000528,ABC-1,ABC1,906791,COSMIC_ID,HIGH,
HSC-2,ACH-000472,HSC-2,HSC2,753562,COSMIC_ID,HIGH,
SNB75,ACH-000504,SNB75,SNB75,905982,COSMIC_ID,HIGH,
TK10,ACH-001208,TK-10,TK10,905980,COSMIC_ID,HIGH,
CCRF-CEM,ACH-001738,CCRF-CEM,CCRFCEM,905952,COSMIC_ID,HIGH,
SK-MEL-28,ACH-000615,SK-MEL-28,SKMEL28,905954,COSMIC_ID,HIGH,
SK-MEL-2,ACH-001190,SK-MEL-2,SKMEL2,905955,COSMIC_ID,HIGH,
SK-MEL-5,ACH-000730,SK-MEL-5,SKMEL5,905956,COSMIC_ID,HIGH,
Hs-578-T,ACH-000148,Hs 578T,HS578T,905957,COSMIC_ID,HIGH,
MOLT-4,ACH-001127,MOLT-4,MOLT4,905958,COSMIC_ID,HIGH,
SK-OV-3,ACH-000811,SK-OV-3,SKOV3,905959,COSMIC_ID,HIGH,
MDA-MB-231,ACH-000768,MDA-MB-231,MDAMB231,905960,COSMIC_ID,HIGH,
COLO-205,ACH-001039,COLO 205,COLO205,905961,COSMIC_ID,HIGH,
SW620,ACH-000651,SW 620,SW620,905962,COSMIC_ID,HIGH,
CAKI-1,ACH-000433,Caki-1,CAKI1,905963,COSMIC_ID,HIGH,
RPMI-8226,ACH-000817,RPMI 8226,RPMI8226,905964,COSMIC_ID,HIGH,
U031,ACH-000428,UO-31,UO31,905981,COSMIC_ID,HIGH,
SR,ACH-000338,SR-786,SR786,905965,COSMIC_ID,HIGH,
IGROV-1,ACH-000966,IGROV1,IGROV1,905968,COSMIC_ID,HIGH,
OVCAR-5,ACH-001151,OVCAR-5,OVCAR5,905969,COSMIC_ID,HIGH,
EKVX,ACH-000706,EKVX,EKVX,905970,COSMIC_ID,HIGH,
HCC2998,ACH-001081,HCC2998,HCC2998,905971,COSMIC_ID,HIGH,
HOP-62,ACH-000861,HOP-62,HOP62,905972,COSMIC_ID,HIGH,
HOP-92,ACH-000825,HOP-92,HOP92,905973,COSMIC_ID,HIGH,
LOXIMVI,ACH-000750,LOX IMVI,LOXIMVI,905974,COSMIC_ID,HIGH,
M14,ACH-002159,M14,M14,905975,COSMIC_ID,HIGH,
UACC-62,ACH-000425,UACC-62,UACC62,905976,COSMIC_ID,HIGH,
UACC-257,ACH-000579,UACC-257,UACC257,905977,COSMIC_ID,HIGH,
RXF393,ACH-002195,RXF393,RXF393,905978,COSMIC_ID,HIGH,
SN12C,ACH-002199,SN12C,SN12C,905979,COSMIC_ID,HIGH,
NCI-H322M,ACH-002172,NCI-H322M,NCIH322M,905967,COSMIC_ID,HIGH,
HCE-4,ACH-002243,HCE-4,HCE4,753559,COSMIC_ID,HIGH,
HA7-RCC,ACH-002139,HA7-RCC,HA7RCC,753558,COSMIC_ID,HIGH,
EPLC-272H,ACH-000585,EPLC-272H,EPLC272H,753556,COSMIC_ID,HIGH,
NCI-H1693,ACH-000021,NCI-H1693,NCIH1693,687802,COSMIC_ID,HIGH,
NCI-H1770,ACH-001362,NCI-H1770,NCIH1770,687804,COSMIC_ID,HIGH,
NCI-H1838,ACH-000733,NCI-H1838,NCIH1838,687807,COSMIC_ID,HIGH,
NCI-H2085,ACH-000451,NCI-H2085,NCIH2085,687812,COSMIC_ID,HIGH,
NCI-H2170,ACH-000481,NCI-H2170,NCIH2170,687815,COSMIC_ID,HIGH,
NCI-H2228,ACH-000447,NCI-H2228,NCIH2228,687816,COSMIC_ID,HIGH,
NCI-H2342,ACH-000951,NCI-H2342,NCIH2342,687819,COSMIC_ID,HIGH,
NCI-H2347,ACH-000875,NCI-H2347,NCIH2347,687820,COSMIC_ID,HIGH,
NCI-H2405,ACH-000121,NCI-H2405,NCIH2405,687821,COSMIC_ID,HIGH,
NCI-H661,ACH-000853,NCI-H661,NCIH661,687829,COSMIC_ID,HIGH,
COR-L311,ACH-000187,COR-L311,CORL311,687980,COSMIC_ID,HIGH,
DMS-114,ACH-000530,DMS 114,DMS114,687983,COSMIC_ID,HIGH,
NCI-H1650,ACH-000035,NCI-H1650,NCIH1650,687800,COSMIC_ID,HIGH,
DMS-273,ACH-000749,DMS 273,DMS273,687985,COSMIC_ID,HIGH,
NCI-H1092,ACH-000514,NCI-H1092,NCIH1092,687997,COSMIC_ID,HIGH,
NCI-H1694,ACH-000431,NCI-H1694,NCIH1694,688006,COSMIC_ID,HIGH,
NCI-H1963,ACH-000729,NCI-H1963,NCIH1963,688010,COSMIC_ID,HIGH,
NCI-H2029,ACH-000298,NCI-H2029,NCIH2029,688011,COSMIC_ID,HIGH,
NCI-H209,ACH-000290,NCI-H209,NCIH209,688013,COSMIC_ID,HIGH,
NCI-H2141,ACH-001138,NCI-H2141,NCIH2141,688014,COSMIC_ID,HIGH,
NCI-H2171,ACH-000525,NCI-H2171,NCIH2171,688015,COSMIC_ID,HIGH,
NCI-H2227,ACH-000610,NCI-H2227,NCIH2227,688018,COSMIC_ID,HIGH,
NCI-H345,ACH-001364,NCI-H345,NCIH345,688021,COSMIC_ID,HIGH,
NCI-H446,ACH-000800,NCI-H446,NCIH446,688023,COSMIC_ID,HIGH,
NCI-H526,ACH-000767,NCI-H526,NCIH526,688025,COSMIC_ID,HIGH,
NCI-H64,ACH-001599,NCI-H64,NCIH64,688026,COSMIC_ID,HIGH,
NCI-H1048,ACH-000866,NCI-H1048,NCIH1048,687995,COSMIC_ID,HIGH,
NCI-H69,ACH-000358,NCI-H69,NCIH69,688027,COSMIC_ID,HIGH,
NCI-H1648,ACH-000766,NCI-H1648,NCIH1648,687799,COSMIC_ID,HIGH,
NCI-H1437,ACH-000589,NCI-H1437,NCIH1437,687794,COSMIC_ID,HIGH,
A673,ACH-000052,A-673,A673,684052,COSMIC_ID,HIGH,
ES5,ACH-002106,ES5,ES5,684057,COSMIC_ID,HIGH,
ES7,ACH-002108,ES7,ES7,684059,COSMIC_ID,HIGH,
EW-11,ACH-002111,EW-11,EW11,684062,COSMIC_ID,HIGH,
SK-ES-1,ACH-000087,SK-ES-1,SKES1,684072,COSMIC_ID,HIGH,
COLO-829,ACH-000644,COLO 829,COLO829,687448,COSMIC_ID,HIGH,
5637,ACH-000905,5637,5637,687452,COSMIC_ID,HIGH,
