Model,Test_R2_Mean,Test_R2_Std,Test_RMSE_Mean,Test_MAE_Mean,Test_Spearman_Mean,Train_R2_Mean,N_Runs
Structure-only,0.27120661158238724,0.017729993046249504,1.9170548481728986,1.48500809472666,0.5171338288191859,0.2722844091455973,50
Transcriptomics-only,0.5431141902434069,0.019303698127060072,1.5173561774858018,1.216133633035897,0.6967178949861406,0.6504749452101182,50
Concatenation,0.8892174218804196,0.007422512483649962,0.7470540684719045,0.5578063311873219,0.9355062771030097,0.9461416572969824,50
