job_id,protein,ligand,num_hbd_pharmacophore,num_hba_pharmacophore,num_aromatic_pharmacophore,num_hydrophobic_pharmacophore,num_positive_ionizable,num_negative_ionizable,pharmacophore_span,pharmacophore_radius,pharmacophore_triangular_area,spatial_distribution_x,spatial_distribution_y,spatial_distribution_z,spatial_volume_ratio,molecular_compactness,atom_density
EGFR_afatinib,EGFR,afatinib,6,11,3,18,5,11,12.320525678720044,4.276603181227311,17.787184754932426,2.9380891312306296,2.3489014156280605,2.5300833555962994,670.6699292699996,0.6942241415256885,0.03676344183679026
EGFR_azd3759,EGFR,azd3759,1,7,3,8,5,3,11.719003626588737,3.9039928852056582,28.47738506653396,2.8315082512758387,2.4409322727112417,1.6727524937712137,608.7148639739996,0.6662670325228092,0.03916005125846852
EGFR_gefitinib,EGFR,gefitinib,1,7,3,8,4,3,12.813896909215401,3.919557685343483,19.268545786684776,3.1829403361661917,2.0348188127167335,1.7702460167900216,621.2059502220002,0.6117666956606534,0.02904742767288019
EGFR_lapatinib,EGFR,lapatinib,2,8,5,5,4,2,16.626149945191763,4.920383576479908,38.01901820731426,3.174619926900244,3.6811527605165346,2.2211496636272154,1150.465612566,0.5918849033239797,0.017453221054906442
EGFR_osimertinib,EGFR,osimertinib,3,10,4,11,7,2,17.336863499491482,4.901526721693935,23.44729562738482,3.544255293170763,3.3353682993498173,2.2991912173154296,1311.5160331040013,0.5654456149853986,0.01429402032416476
EGFR_sapitinib,EGFR,sapitinib,2,7,3,9,5,3,12.365593151968085,4.234290490589037,34.84351559995451,2.9008882265363383,2.719827529646027,1.92438898948657,762.983535744,0.6848503648068213,0.03535286068479816
