Model,Test_R2_Mean,Test_R2_Std,Test_RMSE_Mean,Test_MAE_Mean,Test_Spearman_Mean,Train_R2_Mean,N_Runs
Structure-only,0.23967726980948684,0.02570115794789222,1.4375107920875487,1.0847719427759785,0.49005212794253855,0.24163427833930784,50
Transcriptomics-only,0.42604655503304634,0.02586433431537507,1.2484337667659529,1.0176480509195114,0.6016444286544868,0.5798408984184903,50
Concatenation,0.8062020930391346,0.00993499570337895,0.7254284003563946,0.5568862807808337,0.8840713968237089,0.9230146011156958,50
